Gene,Importance,ID,Gene Symbol,Gene Title
229724_at,0.02,229724_at,GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3"
200746_s_at,0.014328571428571428,200746_s_at,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1"
227847_at,0.014,227847_at,EPM2AIP1,EPM2A (laforin) interacting protein 1
211950_at,0.014,211950_at,UBR4,ubiquitin protein ligase E3 component n-recognin 4
228067_at,0.012328571428571428,228067_at,KIAA1211L,KIAA1211-like
212473_s_at,0.012,212473_s_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
225098_at,0.012,225098_at,ABI2,abl-interactor 2
215116_s_at,0.012,215116_s_at,DNM1,dynamin 1
201828_x_at,0.012,201828_x_at,FAM127A,"family with sequence similarity 127, member A"
212852_s_at,0.011515789473684212,212852_s_at,TROVE2,"TROVE domain family, member 2"
36994_at,0.010484210526315789,36994_at,ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"
218175_at,0.01,218175_at,CCDC92,coiled-coil domain containing 92
49077_at,0.01,49077_at,PPME1,protein phosphatase methylesterase 1
1553422_s_at,0.008359375,1553422_s_at,RBFOX1,"RNA binding protein, fox-1 homolog (C. elegans) 1"
227186_s_at,0.008,227186_s_at,MRPL41,mitochondrial ribosomal protein L41
232226_at,0.008,232226_at,LRRC4C,leucine rich repeat containing 4C
212281_s_at,0.008,212281_s_at,TMEM97,transmembrane protein 97
213689_x_at,0.008,213689_x_at,FAM69A,"family with sequence similarity 69, member A"
213547_at,0.008,213547_at,CAND2,cullin-associated and neddylation-dissociated 2 (putative)
212843_at,0.008,212843_at,NCAM1,neural cell adhesion molecule 1
